# Low-fidelity variance, Low-fidelity lengthscale 1 (S_x), Low-fidelity lengthscale 2 (S_y), Low-fidelity lengthscale 3 (theta), Scale variance, Scale lengthscale 1 (S_x), Scale lengthscale 2 (S_y), Scale lengthscale 3 (theta), Previous fidelity fidelity 2 variance, Previous fidelity fidelity 2 lengthscale, Bias variance, Bias lengthscale 1 (S_x), Bias lengthscale 2 (S_y), Bias lengthscale 3 (theta)
2.093853272040899494e-01,3.306397798384537179e+00,2.510274174510386480e+00,7.313434207350520966e-01,2.201470116367557864e-05,6.818609714650173181e+00,8.072811220142016353e+00,1.008541625632079608e+01,6.521260436510581258e+02,2.374633573462835434e-01,5.740872181915190886e-01,1.053258969875015100e+04,1.284221876648883517e+04,7.566640668474854465e+03
2.093849619252379501e-01,3.306391734676283001e+00,2.510280753540979237e+00,7.313431744621402553e-01,8.519816512740975860e-06,3.727267907497343824e+00,6.274362225057388720e+00,9.084424709653067254e+00,7.396145223903545229e+02,1.154811963057954805e-01,5.133964436908480256e-01,1.162442432751519300e+04,1.691038202021716279e+04,1.502878421283916941e+04
2.093844736147727759e-01,3.306393099178234873e+00,2.510278348985609753e+00,7.313438239209570924e-01,8.573787623121188517e+02,3.757920871990148459e+00,6.175017497064287042e+00,8.708762820178868935e+00,7.059969691682945320e-06,1.146266718767872811e-01,5.113152561208174074e-01,1.003484392892947653e+04,1.263301442217670410e+04,9.143128397772725293e+03
2.093840790738042135e-01,3.306389293195729273e+00,2.510278431954221734e+00,7.313434753793101040e-01,7.915225424922518738e-03,5.343466498605962443e+03,2.983869518518720270e+02,1.134125758444654650e+02,9.283284147105335649e+01,1.567087173794857735e+00,3.324416814092740553e-04,7.987800454504008218e-01,5.760547052018886838e+00,3.278982295037944916e-01
2.093853097084290849e-01,3.306391136156639377e+00,2.510277093198404863e+00,7.313435103133837378e-01,4.404912765952375935e+02,5.342988517444596073e+04,4.141159243493763142e+01,1.182042881869617545e+01,6.343648962233009760e-04,1.757205791868661771e-01,8.758316024321830342e-05,2.450331448801598810e+00,7.629926599745778049e+01,8.074579500701954682e-02
2.093845901319214831e-01,3.306394324036376453e+00,2.510278149257039626e+00,7.313429502686481509e-01,4.014358727216870871e-06,3.788885076464487245e+00,6.017174225636435558e+00,9.370410080296286637e+00,1.554588779036349251e+03,1.167638735062778432e-01,5.121670677420863127e-01,2.344606766766359215e+04,2.206462001918796523e+04,1.021674032160711067e+04
2.093843591794150305e-01,3.306392839643782722e+00,2.510277133921008819e+00,7.313432767581276028e-01,5.449850016580518736e-02,2.186751986141771340e+04,1.770917328219491083e+01,3.064043117754018385e+04,1.649848190565889539e+01,1.254061955426169384e+00,3.022481137086877262e-04,8.876933546790780616e-01,3.209303545854727054e+04,4.582576184991770107e-01
2.093839112618762210e-01,3.306387480028864179e+00,2.510276039948537985e+00,7.313426070172491800e-01,1.150901631710345555e+03,3.549692189259610053e+00,6.335157862852257793e+00,1.077437050820759623e+01,5.993820955383291723e-06,1.213970324028940256e-01,5.193050605839641953e-01,1.722878479715929279e+04,1.901470270341890864e+04,1.370130441158675239e+04
2.093844746735743778e-01,3.306394171006546312e+00,2.510278533359574293e+00,7.313430556924476189e-01,6.056695402823482066e-01,7.334708269534351288e+00,2.606439820670127716e+01,4.303553422574406540e+01,5.554796023548956851e-01,2.093532966088403335e-01,5.869083299612531300e-05,6.409773392694226857e+00,7.244949127646106452e-06,6.075747388026802822e-05
2.093837364222569941e-01,3.306400395697576933e+00,2.510273926061140859e+00,7.313436980788355912e-01,2.673440556736092575e-03,2.751742433084670483e+04,2.174718459073583787e+01,1.271273674137094929e+02,2.406208002263820163e+02,5.843770169230395606e-01,2.197231523708859113e-04,8.682662294663918701e-01,2.637435964758655160e+00,3.131953706859204045e-01
2.093844764270058889e-01,3.306392607343386469e+00,2.510278282229857272e+00,7.313432758059011940e-01,9.213010513189773931e+00,5.333360838302301090e+02,2.961648580127249488e+02,2.746546656458136226e+02,8.555803858338038859e-02,1.628024763041897582e+00,3.258981970618327561e-04,7.013058891077595947e-01,6.300596144461431791e+00,3.591775636292178220e-01
2.093851955992166169e-01,3.306390215107146702e+00,2.510278793788185414e+00,7.313434290261112691e-01,6.815588904554125804e+01,3.782378479892671397e+00,6.240377876473464092e+00,9.245736763797362201e+00,9.126339012019386377e-05,1.147371269193472598e-01,5.153139779227524642e-01,1.953128708892277064e+04,2.066935519933945397e+04,1.039919291373153101e+04
2.093846888546174734e-01,3.306392363721348371e+00,2.510278737645641023e+00,7.313432529612201582e-01,2.352338088033944369e-02,3.410156082322891393e+02,3.541586451360917636e+02,3.257879834470021478e+02,3.488939968446420181e+01,1.635801397270155499e+00,3.919881052297697916e-04,9.173481431817719356e-01,8.305322150496222022e+00,3.437091579134481933e-01
2.093842389847622165e-01,3.306393015300864491e+00,2.510280068810948784e+00,7.313428311367858869e-01,3.346258704985029908e+01,3.792940450120141804e+00,6.268045390932944549e+00,8.975580538602157432e+00,1.719552335318252554e-04,1.068631836574490540e-01,5.007125895993962406e-01,1.064418983416067749e+04,1.224837295341469689e+04,1.023903820183468270e+04
2.093841890204710954e-01,3.306393811888162837e+00,2.510279731035346185e+00,7.313427520898346801e-01,3.832123372359260884e+03,3.731052379650664275e+00,6.310349575536863931e+00,9.009389582383750650e+00,1.598703686307775422e-06,1.136939878963798972e-01,5.133129855738589598e-01,9.002240089001506931e+03,1.161602577316829411e+04,1.331598319809485656e+04
2.093845744950278975e-01,3.306393238167744109e+00,2.510277961390430690e+00,7.313429715130057573e-01,1.487704438562417731e-05,3.686641130197791050e+00,6.295791668417824560e+00,9.180388908739137932e+00,4.159736587532349290e+02,1.148668705363807968e-01,5.136116229519251952e-01,1.015795683580033256e+04,1.369160082403301203e+04,1.304101982019482239e+04
2.093840300549657252e-01,3.306392784901791337e+00,2.510279880302202837e+00,7.313428010166164173e-01,8.043293411942769797e-03,1.095385490634608686e+03,3.153653400312745134e+02,5.746966451683460946e+02,9.642956242934450017e+01,1.622077704009709187e+00,3.746219561723434003e-04,8.225426309050363205e-01,6.343407062456094536e+00,3.230368470095651978e-01
2.093846201857754719e-01,3.306393553122818130e+00,2.510282194883033391e+00,7.313428292511335860e-01,1.459833288470760784e-02,3.084947467702472932e+04,1.920579566223840473e+01,1.014574880318805441e+02,4.494553329677770392e+01,5.960228028313853121e-01,1.853098645812434146e-04,8.063582692232149629e-01,2.373959561387486872e+00,2.915033361266269885e-01
2.093850126641376708e-01,3.306392547382115410e+00,2.510276970161010368e+00,7.313446038837125851e-01,5.125280174119825460e+02,1.844129126747757255e+04,1.707462417551417388e+01,9.730169659201787624e+01,1.326160714322719087e-03,6.250383528480081274e-01,2.013150879470297378e-04,8.675706976971540030e-01,2.191348572805460471e+00,3.305922955257569740e-01
2.093839609919696809e-01,3.306391246828112251e+00,2.510279716375840575e+00,7.313426223612050636e-01,1.301018927388811051e+02,3.632240936081833738e+00,5.701930069867992223e+00,8.867443723929037347e+00,4.544333511602597156e-05,1.149332882686810720e-01,5.190629518280773791e-01,1.309250987912335222e+04,1.336463058961527531e+04,1.295592457498278600e+04
2.093846439600396125e-01,3.306392931466369589e+00,2.510278770195411013e+00,7.313431990668731730e-01,5.617201259283413449e-05,3.764855221678836905e+00,6.187912502271191606e+00,9.413392391890901933e+00,1.144136020160325273e+02,1.171036988573849469e-01,5.201113529260483759e-01,7.007820353852475819e+03,8.790376647377037443e+03,1.021522697125769810e+04
2.093840776310271212e-01,3.306392743449372951e+00,2.510280168402424295e+00,7.313428188092748750e-01,3.041267694690226335e+02,2.841492737166312145e+04,1.435412536911396941e+01,4.424017825278787654e+02,2.471377233501140594e-03,7.440043423380482412e-01,2.372642702098007393e-04,1.591643053419452780e+00,4.527108758043860703e+00,4.628507369104477576e-01
2.093847549125697205e-01,3.306392537965892942e+00,2.510278687590807856e+00,7.313431795383600331e-01,8.465986195396057621e-04,4.151848178697181720e+04,1.560475889380237824e+01,1.333384794756715621e+02,8.768733924858602222e+02,7.484189842171583562e-01,2.115506747705591089e-04,8.513562432321439832e-01,2.345002911995151873e+00,3.675361306464545730e-01
2.093847586018047768e-01,3.306383191899369134e+00,2.510283174591032562e+00,7.313435998536408356e-01,2.968137590157530970e-06,3.711848683747222211e+00,6.528043012497752429e+00,9.157990822220584803e+00,2.037410866000321221e+03,1.075567355686846138e-01,5.094993689980475970e-01,1.386134937528776936e+04,1.653001350114979869e+04,1.458383504396709395e+04
2.093848981218119631e-01,3.306394857505147389e+00,2.510276795719126319e+00,7.313437349620579564e-01,1.043728405787244810e+03,2.645288214508018765e+00,1.072068560099449996e+01,9.577622628343120947e-01,2.910625503487026160e-06,8.961342791830380350e-02,4.840134674798265424e-01,2.050751323649517872e+04,2.086298131795526206e+04,1.683719237420964419e+04
2.093839774506824347e-01,3.306388567027950032e+00,2.510280622020879981e+00,7.313425066198265823e-01,5.409438695486915158e-04,4.228811355573174660e+04,1.773475320648053355e+01,9.795486556708834769e+01,1.213516612800379562e+03,5.840982508224653591e-01,1.741246021633198330e-04,8.141418958643140691e-01,2.111169810652209655e+00,2.871506727501483280e-01
2.093847239678923722e-01,3.306393057354121368e+00,2.510277996132560752e+00,7.313434071836669714e-01,3.153252737827339729e+02,1.178571674617975805e+04,1.617558415671845751e+01,9.770420861169710406e+03,2.445503723861052175e-03,7.318952306701518307e-01,2.680852934917289047e-04,1.216140946847536375e+00,4.686107314544124165e+03,5.865802760180853781e-01
2.093848663277429190e-01,3.306393452245246500e+00,2.510278452835641438e+00,7.313433040052702561e-01,6.604534248138858032e+00,3.439283237566149865e+01,2.918165840065728389e+01,7.445001134759825945e+00,4.133009873436208070e-02,3.093691680778110076e-01,9.230932756521967265e-05,2.831822115379470119e+02,1.141817147944007571e-01,4.314110463423428410e-01
2.093841876303920990e-01,3.306393909941407472e+00,2.510279738653790726e+00,7.313427400867161809e-01,1.553807832366354887e+03,3.497853584970638696e+00,6.460622075305929357e+00,8.579606197120497768e+00,3.850651361017528812e-06,1.157787827927150293e-01,5.149940405994586357e-01,4.951110219418314227e+04,5.023747554660218157e+04,1.184659910546962965e+04
2.093838647324035573e-01,3.306393244336580217e+00,2.510280285432064495e+00,7.313426486561588336e-01,2.383315518563842161e+01,3.339634919346599986e+02,3.057456158587659729e+02,3.639885979789602857e+02,3.391851141870096120e-02,1.640066756724500641e+00,3.593894482186709436e-04,7.750318588273569231e-01,6.234940163359382836e+00,3.352569731870856939e-01
2.093857102856517549e-01,3.306391240473400384e+00,2.510274049137975361e+00,7.313464605163344512e-01,2.514188557798239003e+02,3.371831926961109893e+00,6.224217491398703395e+00,8.802055255472543749e+00,2.414904582819253414e-05,1.170531369538412997e-01,5.076280773608889962e-01,1.764233740684960139e+04,2.192653812219040265e+04,1.102511611015492599e+04
2.093855017450561573e-01,3.306401377746881032e+00,2.510281069981671109e+00,7.313429477559348912e-01,1.606049760049468259e-03,4.155459754708322073e+00,6.898316633799333353e+00,8.468927935145794450e+00,3.644695629979788798e+00,9.749892335576677838e-02,5.077342255222485612e-01,9.079601440044601986e+03,1.244112541873494229e+04,1.025691250541072986e+04
2.093841751821879371e-01,3.306393973078870285e+00,2.510279747763562774e+00,7.313427287214290251e-01,1.421099072302087272e-04,1.158309680569426746e+04,2.386862215265438465e+02,2.258179336431530101e+04,4.752597862731062378e+03,1.565548838721207536e+00,5.181299403364747957e-04,9.532884011096073307e-01,7.778567589149318451e+00,3.989305304614135239e-01
2.093848295904567891e-01,3.306392437627994507e+00,2.510278340640860861e+00,7.313434619532050984e-01,1.847224560977219153e+04,8.037753197151879431e+04,3.347064882727756441e+01,1.638198106144778876e+01,1.288757233984257988e-05,1.595339985194141330e-01,8.695472942708619109e-05,2.879904483185129357e+04,8.996599366799362674e-02,2.701089077241540237e-01
2.093852035019314606e-01,3.306397074235012834e+00,2.510281271837494721e+00,7.313432562574994078e-01,3.751677578598101178e-06,4.274474606612737482e+00,7.032322465029287706e+00,9.380352405749231792e+00,1.882333900598647233e+03,1.058388092597449953e-01,5.217947209511232254e-01,9.006203314513179066e+03,1.098282243376461520e+04,1.262211188822087570e+04
2.093845332688018257e-01,3.306392319764234422e+00,2.510277912217226515e+00,7.313432441533115336e-01,1.600410975244455130e+03,3.830349981048077890e+00,6.214116950988530341e+00,9.519559306377820107e+00,4.045833492732419463e-06,1.175247811057117953e-01,5.214417698256479383e-01,9.966019299722718642e+03,1.414473278446738550e+04,8.607700078296462380e+03
2.093845458676282523e-01,3.306392244773332045e+00,2.510278111038770632e+00,7.313432762765083028e-01,6.355883316678894168e+00,6.681565762557323751e+02,1.621354689844302754e+01,1.976849787806916083e+02,1.398201527541597100e-01,1.257061836053249726e+00,2.743691483722986071e-04,8.931795840626544081e-01,1.454475384634727959e+02,4.701837980285826779e-01
2.093840698212828255e-01,3.306392773543807895e+00,2.510280248577519746e+00,7.313428083891717613e-01,1.682020863193229161e+02,3.812524524992847663e+00,6.207363948021944466e+00,9.216494051591460845e+00,3.620862284633661612e-05,1.125229802654994365e-01,5.141131924467166048e-01,1.254299495629566627e+04,1.526964063436726610e+04,1.317613977575064564e+04
2.093852316571231942e-01,3.306391325295625627e+00,2.510276804471878176e+00,7.313442928482938310e-01,2.174194846267903797e-03,2.892400160702313224e+04,3.565733146634715922e+01,1.828241462313426169e+01,1.726797385943604581e+02,3.945776989220749487e-01,1.476482201867434921e-04,7.519150797481395365e-01,2.493891244148835007e+00,2.638931745395030060e-01
2.093845275819356533e-01,3.306392522525062105e+00,2.510278495885569505e+00,7.313433415652225156e-01,1.290087689289583228e-02,1.930075228816230037e+03,1.595408313444991322e+01,1.922650823574321421e+01,3.287647901716270127e+01,4.091372166383041575e-01,3.164153390130401054e-05,5.415509739103091435e-105,7.647315986782638409e-15,3.641990536175117249e-34
2.093842381357447491e-01,3.306390541119651694e+00,2.510278041451381892e+00,7.313431970219328448e-01,2.729710680545153991e+02,3.809027540486829899e+00,6.246721410962138954e+00,9.272162327932790049e+00,2.303641635477603552e-05,1.153772845688421783e-01,5.172317035339819569e-01,1.460877416216933671e+04,2.215433303230669480e+04,1.257849792160148718e+04
2.093845343101932432e-01,3.306391435348537744e+00,2.510280370996341492e+00,7.313425782478972792e-01,1.353007375501498188e+01,2.723324998760404014e+03,5.002313043633370704e+00,8.373021243048819784e+00,5.780815999074614183e-04,1.162746599572239969e-01,4.900284343995915393e-01,6.552900367725742399e+03,1.020142691699097122e+04,3.501451290806160614e+03
2.093845287672704836e-01,3.306391789143204196e+00,2.510279381173119884e+00,7.313432418310160665e-01,1.613575321395975379e+03,3.741474419488438841e+00,6.501293785969627592e+00,9.314650269649908054e+00,4.124264466206540627e-06,1.165221132681710098e-01,5.203162216276796537e-01,1.013405139893455816e+04,1.365970275482665420e+04,1.319813732753960903e+04
2.093845908973721026e-01,3.306386715788393715e+00,2.510281679551296108e+00,7.313436284475424154e-01,5.137088530299130440e+01,3.805715535969560914e+00,6.292393348331970948e+00,9.891464304859432843e+00,1.272946329606718227e-04,1.163741860448548882e-01,5.200174554781074043e-01,1.211088590491823197e+04,1.525439539164239795e+04,1.160348374421975859e+04
2.093833798302701665e-01,3.306390003185016635e+00,2.510271274925091056e+00,7.313435824567883214e-01,4.505431204571509751e-03,3.118439427298910596e+04,3.066573975927204856e+02,1.416772611294867943e+02,1.781900594017733113e+02,1.634369925644241661e+00,3.110224487977834330e-04,7.913250570734721157e-01,5.333766060865917424e+00,3.113837619098645537e-01
2.093847240848867308e-01,3.306392943787848093e+00,2.510278975803664991e+00,7.313432276679306954e-01,1.210539370293873134e+02,3.758388058633824080e+00,6.294661103959406034e+00,9.274107151486942868e+00,5.200036282304893874e-05,1.155235300824010852e-01,5.161359973137666923e-01,8.627284282156992049e+03,9.850391477168072015e+03,8.663537762129828479e+03
2.093841839389439796e-01,3.306393807681517583e+00,2.510279740044794927e+00,7.313427524572120308e-01,1.869076017436914331e-05,3.823112437391347207e+00,6.273464459159338702e+00,9.280058022920536942e+00,3.345337379929124495e+02,1.139466684628225868e-01,5.151749123429723021e-01,1.628636296812650835e+04,1.779836047307630361e+04,7.583303329599872995e+03
2.093841633017475279e-01,3.306394009621119512e+00,2.510279698888051580e+00,7.313427279324504759e-01,7.801078351126564808e-04,3.790798982804595596e+00,6.254129856915740859e+00,9.219867654993757711e+00,7.956753113305897074e+00,1.146122893415702088e-01,5.146433637651303128e-01,6.475410962385865787e+03,7.956231947442523960e+03,6.188318175420909029e+03
2.093847596539402389e-01,3.306389031604244355e+00,2.510280223249793607e+00,7.313440345504570450e-01,6.080652264504412763e+00,3.550484715657572110e+02,4.087807579394691402e+02,4.646344205453177096e+02,1.281639207738365094e-01,1.640880876633517449e+00,3.983226689722767699e-04,8.462951195851389219e-01,8.213454073461559091e+00,3.227149040232625832e-01
2.093848033383505503e-01,3.306391890311732862e+00,2.510278548326903891e+00,7.313433253754092478e-01,4.440674937993940308e-01,7.551061183451239778e+00,2.682527247583815466e+01,4.407283049960996379e+01,7.597761196690935304e-01,1.965030071044741589e-01,3.356840803892151696e-22,3.057271535380997385e+00,4.359520395496805811e+00,4.281483288767796935e+00
